Id2,Total; Estimate; Population 16 years and over,Labor Force Participation Rate; Estimate; Population 16 years and over
19102,4721,68.9
19103,21844,67.8
19104,47325,40.2
19106,11355,66.1
19107,12672,66.1
19109,0,-
19111,54229,64.5
19112,0,-
19113,109,74.3
19114,25682,62.4
19115,27260,59.7
19116,27194,62.8
19118,8902,62.5
19119,23784,64.5
19120,55646,63.4
19121,25969,48.6
19122,18284,49.7
19123,12968,71.7
19124,49523,59.6
19125,20749,70.6
19126,12388,57.5
19127,6033,81.1
19128,31429,70
19129,9229,64.3
19130,23750,73.3
19131,34953,52
19132,26781,47.2
19133,19426,42.7
19134,45865,53.7
19135,24773,63.8
19136,27444,54.7
19137,6634,61.8
19138,27618,55
19139,33399,54.3
19140,38965,51
19141,26838,57.6
19142,20412,60.5
19143,51427,57
19144,33139,52.8
19145,38811,62.5
19146,32262,69
19147,33455,75.9
19148,44052,63.5
19149,42534,65.7
19150,19898,58.5
19151,26329,63.1
19152,28240,59.4
19153,10399,62.4
19154,26711,64.1
