Id2,Total Households,Hoseholds Receiving SNAP,Households not Receiving SNAP,Households below poverty level,Households Receiving SNAP Below Poverty Level,Households not receiving SNAP Below Poverty Level,Households at or above poverty level,Households receiving SNAP at or above poverty level,Households not receiving SNAP at or above poverty level,Household Median Income,Household Median Income for SNAP Households,Household Median Income for non-SNAP households
19102,2935,162,2773,318,29,289,2617,133,2484,97839,"250,000+",94836
19103,14274,387,13887,1756,244,1512,12518,143,12375,70746,10184,71900
19104,15559,4413,11146,6829,2824,4005,8730,1589,7141,21773,11313,29474
19106,6260,85,6175,579,31,548,5681,54,5627,101138,13831,101738
19107,6869,720,6149,1406,482,924,5463,238,5225,50701,10845,57139
19109,0,0,0,0,0,0,0,0,0,-,-,-
19111,23998,4781,19217,4171,1863,2308,19827,2918,16909,44737,25236,50702
19112,0,0,0,0,0,0,0,0,0,-,-,-
19113,58,0,58,0,0,0,58,0,58,-,-,-
19114,12709,1272,11437,1419,388,1031,11290,884,10406,54151,26500,58005
19115,13548,1795,11753,2154,981,1173,11394,814,10580,47391,13574,55380
19116,12714,2194,10520,1985,1161,824,10729,1033,9696,46325,15529,54188
19118,4319,88,4231,282,17,265,4037,71,3966,79602,-,81660
19119,11730,1741,9989,1564,841,723,10166,900,9266,57560,18115,66311
19120,23069,8277,14792,7063,4316,2747,16006,3961,12045,34720,20278,43162
19121,12075,5021,7054,5515,3301,2214,6560,1720,4840,18877,11675,30770
19122,6087,2416,3671,2050,1408,642,4037,1008,3029,33448,16596,47376
19123,6757,1438,5319,1514,829,685,5243,609,4634,57793,11941,77321
19124,22518,9239,13279,6778,4760,2018,15740,4479,11261,30276,18784,42071
19125,9368,1972,7396,1735,969,766,7633,1003,6630,52500,24191,61244
19126,5579,1468,4111,1246,815,431,4333,653,3680,35172,15274,45519
19127,2378,149,2229,376,67,309,2002,82,1920,70568,-,73442
19128,15339,1129,14210,1544,362,1182,13795,767,13028,64038,24916,69054
19129,4620,920,3700,897,452,445,3723,468,3255,47945,14340,56192
19130,12586,1042,11544,1695,598,1097,10891,444,10447,71263,17782,76915
19131,17450,4178,13272,5320,2419,2901,12130,1759,10371,31113,12830,39490
19132,13439,4971,8468,5424,2966,2458,8015,2005,6010,22316,15110,28946
19133,8627,5238,3389,4649,3725,924,3978,1513,2465,18119,13005,30007
19134,20307,10074,10233,7914,6554,1360,12393,3520,8873,27942,17188,41724
19135,11671,2602,9069,1979,988,991,9692,1614,8078,41669,24149,45390
19136,12262,1802,10460,1818,769,1049,10444,1033,9411,46319,21136,50613
19137,3041,618,2423,554,307,247,2487,311,2176,50461,19470,58142
19138,11405,3116,8289,2763,1353,1410,8642,1763,6879,35536,22226,40758
19139,16121,6424,9697,5587,3481,2106,10534,2943,7591,26356,14903,35182
19140,18036,8607,9429,7618,5215,2403,10418,3392,7026,21630,15571,29574
19141,12218,4575,7643,3729,2699,1030,8489,1876,6613,29235,15828,39423
19142,9483,3696,5787,3171,2180,991,6312,1516,4796,29972,14810,40085
19143,25465,8318,17147,6884,4444,2440,18581,3874,14707,30797,16336,37930
19144,16882,5155,11727,5530,3237,2293,11352,1918,9434,28046,12013,38077
19145,18142,4613,13529,3990,2471,1519,14152,2142,12010,38211,18138,46780
19146,16160,3285,12875,3055,1705,1350,13105,1580,11525,52433,15688,67371
19147,16579,1604,14975,1698,750,948,14881,854,14027,70057,20314,75933
19148,19364,4317,15047,3624,2208,1416,15740,2109,13631,46108,21285,54598
19149,18710,4941,13769,3785,2005,1780,14925,2936,11989,39889,28549,43905
19150,9566,1647,7919,1357,545,812,8209,1102,7107,43778,22321,49245
19151,12124,2612,9512,2460,1185,1275,9664,1427,8237,44809,19775,52057
19152,12838,2160,10678,1993,1030,963,10845,1130,9715,49069,19725,54728
19153,5338,1120,4218,1154,627,527,4184,493,3691,40921,17559,50962
19154,12108,1107,11001,850,317,533,11258,790,10468,60170,29982,62436
